0,Orthology,Reaction,Reaction_decode,Pathway,Pathway_decode,Module,Module_decode
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]",R08310,"4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one + NAD+ <=> 5-Phenyl-1,3-oxazinane-2,4-dione + NADH + H+",map01220,Degradation of aromatic compounds,,
K02269,COX7; cytochrome c oxidase subunit 7,,,map01100,Metabolic pathways,M00154,Cytochrome c oxidase
K02270,COX7A; cytochrome c oxidase subunit 7a,,,map05016,Huntington disease,M00154,Cytochrome c oxidase
K02271,COX7B; cytochrome c oxidase subunit 7b,,,map05016,Huntington disease,M00154,Cytochrome c oxidase
K02272,COX7C; cytochrome c oxidase subunit 7c,,,map05016,Huntington disease,M00154,Cytochrome c oxidase
K02273,COX8; cytochrome c oxidase subunit 8,,,map05016,Huntington disease,M00154,Cytochrome c oxidase
K02274,"coxA, ctaD; cytochrome c oxidase subunit I [EC:1.9.3.1]",R00081,Oxygen + 4 Ferrocytochrome c + 4 H+ <=> 4 Ferricytochrome c + 2 H2O,map01100,Metabolic pathways,M00155,"Cytochrome c oxidase, prokaryotes"
K02275,"coxB, ctaC; cytochrome c oxidase subunit II [EC:1.9.3.1]",R00081,Oxygen + 4 Ferrocytochrome c + 4 H+ <=> 4 Ferricytochrome c + 2 H2O,map01100,Metabolic pathways,M00155,"Cytochrome c oxidase, prokaryotes"
K02276,"coxC, ctaE; cytochrome c oxidase subunit III [EC:1.9.3.1]",R00081,Oxygen + 4 Ferrocytochrome c + 4 H+ <=> 4 Ferricytochrome c + 2 H2O,map01100,Metabolic pathways,M00155,"Cytochrome c oxidase, prokaryotes"
K02277,"coxD, ctaF; cytochrome c oxidase subunit IV [EC:1.9.3.1]",,,map01100,Metabolic pathways,M00155,"Cytochrome c oxidase, prokaryotes"
K02278,"cpaA, tadV; prepilin peptidase CpaA [EC:3.4.23.43]",,,,,,
K02279,"cpaB, rcpC; pilus assembly protein CpaB",,,,,,
K02280,"cpaC, rcpA; pilus assembly protein CpaC",,,,,,
K02281,cpaD; pilus assembly protein CpaD,,,,,,
K02282,"cpaE, tadZ; pilus assembly protein CpaE",,,,,,
K02283,"cpaF, tadA; pilus assembly protein CpaF [EC:7.4.2.8]",,,,,,
K02284,cpcA; phycocyanin alpha chain,,,map01100,Metabolic pathways,,
K02285,cpcB; phycocyanin beta chain,,,map01100,Metabolic pathways,,
K02286,cpcC; phycocyanin-associated rod linker protein,,,map01100,Metabolic pathways,,
K02287,"cpcD; phycocyanin-associated, rod",,,map01100,Metabolic pathways,,
K02288,cpcE; phycocyanobilin lyase subunit alpha [EC:4.4.1.32],,,map01100,Metabolic pathways,,
K02289,cpcF; phycocyanobilin lyase subunit beta [EC:4.4.1.32],,,map01100,Metabolic pathways,,
K02290,cpcG; phycobilisome rod-core linker protein,,,map01100,Metabolic pathways,,
K02291,crtB; 15-cis-phytoene synthase [EC:2.5.1.32],R10177,2 Geranylgeranyl diphosphate <=> 15-cis-Phytoene + 2 Diphosphate,map01110,Biosynthesis of secondary metabolites,M00097,"beta-Carotene biosynthesis, GGAP => beta-carotene"
K02292,crtO; beta-carotene ketolase (CrtO type),R12180,Echinenone <=> Canthaxanthin,map01110,Biosynthesis of secondary metabolites,,
K02293,"PDS, crtP; 15-cis-phytoene desaturase [EC:1.3.5.5]",R09654,"15,9'-dicis-Phytofluene + Plastoquinone <=> 9,15,9'-tricis-zeta-Carotene + Plastoquinol",map01110,Biosynthesis of secondary metabolites,M00097,"beta-Carotene biosynthesis, GGAP => beta-carotene"
K02294,crtR; beta-carotene hydroxylase [EC:1.14.13.-],R07561,Echinenone + 2 Reduced ferredoxin + H+ + Oxygen <=> 3'-Hydroxyechinenone + 2 Oxidized ferredoxin + H2O,map01110,Biosynthesis of secondary metabolites,,
K02295,CRY; cryptochrome,,,map04710,Circadian rhythm,,
K02296,"ARNTL, BMAL1, CYC; aryl hydrocarbon receptor nuclear translocator-like protein 1",,,map04728,Dopaminergic synapse,,
K02297,cyoA; cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3],R11335,2 Ubiquinol + Oxygen + n H+ <=> 2 Ubiquinone + 2 H2O + n H+,map01100,Metabolic pathways,M00417,Cytochrome o ubiquinol oxidase
K02298,cyoB; cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3],R11335,2 Ubiquinol + Oxygen + n H+ <=> 2 Ubiquinone + 2 H2O + n H+,map01100,Metabolic pathways,M00417,Cytochrome o ubiquinol oxidase
K02299,cyoC; cytochrome o ubiquinol oxidase subunit III,,,map01100,Metabolic pathways,M00417,Cytochrome o ubiquinol oxidase
K02300,cyoD; cytochrome o ubiquinol oxidase subunit IV,,,map01100,Metabolic pathways,M00417,Cytochrome o ubiquinol oxidase
K02302,cysG; uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4],R03947,Precorrin 2 + NAD+ <=> Sirohydrochlorin + NADH + H+,map01120,Microbial metabolism in diverse environments,M00846,"Siroheme biosynthesis, glutamate => siroheme"
K02303,cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107],R03194,2 S-Adenosyl-L-methionine + Uroporphyrinogen III <=> 2 S-Adenosyl-L-homocysteine + Precorrin 2,map01120,Microbial metabolism in diverse environments,M00846,"Siroheme biosynthesis, glutamate => siroheme"
K02304,MET8; precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4],R03947,Precorrin 2 + NAD+ <=> Sirohydrochlorin + NADH + H+,map01120,Microbial metabolism in diverse environments,M00846,"Siroheme biosynthesis, glutamate => siroheme"
K02305,norC; nitric oxide reductase subunit C,R00294,2 Nitric oxide + 2 Ferrocytochrome c + 2 H+ <=> Nitrous oxide + 2 Ferricytochrome c + H2O,map01120,Microbial metabolism in diverse environments,M00529,"Denitrification, nitrate => nitrogen"
K02306,DALLY; dally,,,map04391,Hippo signaling pathway - fly,,
K02307,DAM1; DASH complex subunit DAM1,,,map04111,Cell cycle - yeast,,
K02308,DAXX; death-associated protein 6,,,map05168,Herpes simplex virus 1 infection,,
K02309,DBF4; regulatory subunit for Cdc7p protein kinase,,,map04113,Meiosis - yeast,,
K02310,"DFFA, DFF45; DNA fragmentation factor, 45 kD, alpha subunit",,,map04210,Apoptosis,,
K02311,"DFFB, DFF40; DNA fragmentation factor, 40 kD, beta subunit [EC:3.-.-.-]",,,map04210,Apoptosis,,
K02313,dnaA; chromosomal replication initiator protein,,,map04112,Cell cycle - Caulobacter,,
K02314,dnaB; replicative DNA helicase [EC:3.6.4.12],,,map04112,Cell cycle - Caulobacter,,
K02315,dnaC; DNA replication protein DnaC,,,,,,
K02316,dnaG; DNA primase [EC:2.7.7.101],,,map03030,DNA replication,,
K02317,dnaT; DNA replication protein DnaT,,,map03440,Homologous recombination,,
K02318,COASY; phosphopantetheine adenylyltransferase / dephospho-CoA kinase [EC:2.7.7.3 2.7.1.24],R03035,ATP + Pantetheine 4'-phosphate <=> Diphosphate + Dephospho-CoA,map01100,Metabolic pathways,M00120,"Coenzyme A biosynthesis, pantothenate => CoA"
K02319,"pol; DNA polymerase, archaea type [EC:2.7.7.7]",,,map03030,DNA replication,,
K02320,POLA1; DNA polymerase alpha subunit A [EC:2.7.7.7],,,map03030,DNA replication,M00261,DNA polymerase alpha / primase complex
K02321,POLA2; DNA polymerase alpha subunit B,,,map03030,DNA replication,M00261,DNA polymerase alpha / primase complex
K02322,polC; DNA polymerase II large subunit [EC:2.7.7.7],,,map03030,DNA replication,M00264,"DNA polymerase II complex, archaea"
K02323,polB; DNA polymerase II small subunit [EC:2.7.7.7],,,map03030,DNA replication,M00264,"DNA polymerase II complex, archaea"
K02324,POLE; DNA polymerase epsilon subunit 1 [EC:2.7.7.7],,,map03420,Nucleotide excision repair,M00263,DNA polymerase epsilon complex
K02325,POLE2; DNA polymerase epsilon subunit 2 [EC:2.7.7.7],,,map03420,Nucleotide excision repair,M00263,DNA polymerase epsilon complex
K02326,POLE3; DNA polymerase epsilon subunit 3 [EC:2.7.7.7],,,map03420,Nucleotide excision repair,M00263,DNA polymerase epsilon complex
K02327,POLD1; DNA polymerase delta subunit 1 [EC:2.7.7.7],,,map03440,Homologous recombination,M00262,DNA polymerase delta complex
K02328,POLD2; DNA polymerase delta subunit 2,,,map03440,Homologous recombination,M00262,DNA polymerase delta complex
K02329,FZD3; frizzled 3,,,map05226,Gastric cancer,,
K02330,POLB; DNA polymerase beta [EC:2.7.7.7 4.2.99.-],,,map05203,Viral carcinogenesis,,
K02331,"POL5, MYBBP1A; DNA polymerase phi [EC:2.7.7.7]",,,,,,
K02332,POLG; DNA polymerase gamma 1 [EC:2.7.7.7],,,map04139,Mitophagy - yeast,M00294,DNA polymerase gamma complex
K02333,POLG2; DNA polymerase gamma 2,,,,,M00294,DNA polymerase gamma complex
K02334,dpo; DNA polymerase bacteriophage-type [EC:2.7.7.7],,,,,,
K02335,polA; DNA polymerase I [EC:2.7.7.7],,,map03440,Homologous recombination,,
K02336,polB; DNA polymerase II [EC:2.7.7.7],,,,,,
K02337,dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7],,,map03440,Homologous recombination,M00260,"DNA polymerase III complex, bacteria"
K02338,dnaN; DNA polymerase III subunit beta [EC:2.7.7.7],,,map03440,Homologous recombination,M00260,"DNA polymerase III complex, bacteria"
K02339,holC; DNA polymerase III subunit chi [EC:2.7.7.7],,,map03440,Homologous recombination,M00260,"DNA polymerase III complex, bacteria"
K02340,holA; DNA polymerase III subunit delta [EC:2.7.7.7],,,map03440,Homologous recombination,M00260,"DNA polymerase III complex, bacteria"
K02341,holB; DNA polymerase III subunit delta' [EC:2.7.7.7],,,map03440,Homologous recombination,M00260,"DNA polymerase III complex, bacteria"
K02342,dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7],,,map03440,Homologous recombination,M00260,"DNA polymerase III complex, bacteria"
K02343,dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7],,,map03440,Homologous recombination,M00260,"DNA polymerase III complex, bacteria"
K02344,holD; DNA polymerase III subunit psi [EC:2.7.7.7],,,map03440,Homologous recombination,M00260,"DNA polymerase III complex, bacteria"
K02345,holE; DNA polymerase III subunit theta [EC:2.7.7.7],,,map03440,Homologous recombination,M00260,"DNA polymerase III complex, bacteria"
K02346,dinB; DNA polymerase IV [EC:2.7.7.7],,,,,,
K02347,"polX, dpx; DNA polymerase (family X)",,,,,,
K02348,elaA; ElaA protein,,,,,,
K02349,POLQ; DNA polymerase theta [EC:2.7.7.7],,,,,,
K02350,"REV3L, POLZ; DNA polymerase zeta [EC:2.7.7.7]",,,map03460,Fanconi anemia pathway,M00293,DNA polymerase zeta complex
K02351,K02351; putative membrane protein,,,,,,
K02352,drp35; lactonase [EC:3.1.1.-],,,,,,
K02353,DVL; segment polarity protein dishevelled,,,map05226,Gastric cancer,,
K02354,"FZD4, fz4, CD344; frizzled 4",,,map05226,Gastric cancer,,
K02355,"fusA, GFM, EFG; elongation factor G",,,,,,
K02356,efp; elongation factor P,,,,,,
K02357,"tsf, TSFM; elongation factor Ts",,,,,,
K02358,"tuf, TUFM; elongation factor Tu",,,,,,
K02359,EGH; egghead protein (zeste-white 4 protein),,,map04320,Dorso-ventral axis formation,,
K02360,ENC; a component of the cytoplasm (encore),,,map04320,Dorso-ventral axis formation,,
K02361,entC; isochorismate synthase [EC:5.4.4.2],R01717,Chorismate <=> Isochorismate,map01130,Biosynthesis of antibiotics,M00116,"Menaquinone biosynthesis, chorismate => menaquinol"
K02362,entD; enterobactin synthetase component D [EC:6.3.2.14 2.7.8.-],R07644,"6 ATP + 3 2,3-Dihydroxybenzoate + 3 L-Serine <=> Enterochelin + 6 AMP + 6 Diphosphate",map01130,Biosynthesis of antibiotics,,
K02363,"entE, dhbE, vibE, mxcE; 2,3-dihydroxybenzoate-AMP ligase [EC:6.3.2.14 2.7.7.58]",R07644,"6 ATP + 3 2,3-Dihydroxybenzoate + 3 L-Serine <=> Enterochelin + 6 AMP + 6 Diphosphate",map01130,Biosynthesis of antibiotics,,
K02364,entF; enterobactin synthetase component F [EC:6.3.2.14],R07644,"6 ATP + 3 2,3-Dihydroxybenzoate + 3 L-Serine <=> Enterochelin + 6 AMP + 6 Diphosphate",map01130,Biosynthesis of antibiotics,,
K02365,ESP1; separase [EC:3.4.22.49],,,map05166,Human T-cell leukemia virus 1 infection,,
K02366,EXT1; glucuronyl/N-acetylglucosaminyl transferase EXT1 [EC:2.4.1.224 2.4.1.225],R10139,G00165 + UDP-N-acetyl-D-glucosamine <=> G13062 + UDP,map01100,Metabolic pathways,M00059,"Glycosaminoglycan biosynthesis, heparan sulfate backbone"
K02367,EXT2; glucuronyl/N-acetylglucosaminyl transferase EXT2 [EC:2.4.1.224 2.4.1.225],R10139,G00165 + UDP-N-acetyl-D-glucosamine <=> G13062 + UDP,map01100,Metabolic pathways,M00059,"Glycosaminoglycan biosynthesis, heparan sulfate backbone"
K02368,"EXTL1; alpha-1,4-N-acetylglucosaminyltransferase EXTL1 [EC:2.4.1.224]",R05936,UDP-N-acetyl-D-glucosamine + G00163 <=> UDP + G00164,map01100,Metabolic pathways,M00059,"Glycosaminoglycan biosynthesis, heparan sulfate backbone"
K02369,"EXTL2; alpha-1,4-N-acetylglucosaminyltransferase EXTL2 [EC:2.4.1.223]",R05930,UDP-N-acetyl-D-glucosamine + G00157 <=> UDP + G00162,map01100,Metabolic pathways,M00059,"Glycosaminoglycan biosynthesis, heparan sulfate backbone"
K02370,"EXTL3; alpha-1,4-N-acetylglucosaminyltransferase EXTL3 [EC:2.4.1.223 2.4.1.224]",R05936,UDP-N-acetyl-D-glucosamine + G00163 <=> UDP + G00164,map01100,Metabolic pathways,M00059,"Glycosaminoglycan biosynthesis, heparan sulfate backbone"
K02371,fabK; enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9],R07765,(2E)-Octadecenoyl-[acp] + NADH + H+ <=> Octadecanoyl-[acyl-carrier protein] + NAD+,map01212,Fatty acid metabolism,M00083,"Fatty acid biosynthesis, elongation"
K02372,fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59],R10208,"(3R)-3-Hydroxyacyl-[acyl-carrier protein] <=> trans-2,3-Dehydroacyl-[acyl-carrier protein] + H2O",map01212,Fatty acid metabolism,M00572,"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP"
K02373,FADD; FAS-associated death domain protein,,,map05200,Pathways in cancer,,
K02374,"PTPN13, FAP-1; tyrosine-protein phosphatase non-receptor type 13",,,map04210,Apoptosis,,
K02375,"FZD5_8, fz2; frizzled 5/8",,,map05226,Gastric cancer,,
K02376,FZD6; frizzled 6,,,map05226,Gastric cancer,,
K02377,"TSTA3, fcl; GDP-L-fucose synthase [EC:1.1.1.271]",R05692,GDP-L-fucose + NADP+ <=> GDP-4-dehydro-6-deoxy-D-mannose + NADPH + H+,map01100,Metabolic pathways,,
K02379,fdhD; FdhD protein,,,,,,
K02380,fdhE; FdhE protein,,,,,,
K02381,fdrA; FdrA protein,,,,,,
K02382,flbA; flagellar protein FlbA,,,,,,
K02383,flbB; flagellar protein FlbB,,,,,,
K02384,flbC; flagellar protein FlbC,,,,,,
K02385,flbD; flagellar protein FlbD,,,,,,
K02386,flgA; flagella basal body P-ring formation protein FlgA,,,map02040,Flagellar assembly,,
K02387,flgB; flagellar basal-body rod protein FlgB,,,map02040,Flagellar assembly,,
K02388,flgC; flagellar basal-body rod protein FlgC,,,map02040,Flagellar assembly,,
K02389,flgD; flagellar basal-body rod modification protein FlgD,,,map02040,Flagellar assembly,,
K02390,flgE; flagellar hook protein FlgE,,,map02040,Flagellar assembly,,
K02391,flgF; flagellar basal-body rod protein FlgF,,,map02040,Flagellar assembly,,
K02392,flgG; flagellar basal-body rod protein FlgG,,,map02040,Flagellar assembly,,
K02393,flgH; flagellar L-ring protein precursor FlgH,,,map02040,Flagellar assembly,,
K02394,flgI; flagellar P-ring protein precursor FlgI,,,map02040,Flagellar assembly,,
K02395,flgJ; flagellar protein FlgJ,,,,,,
K02396,flgK; flagellar hook-associated protein 1 FlgK,,,map02040,Flagellar assembly,,
K02397,flgL; flagellar hook-associated protein 3 FlgL,,,map02040,Flagellar assembly,,
K02398,flgM; negative regulator of flagellin synthesis FlgM,,,map02040,Flagellar assembly,,
K02399,flgN; flagella synthesis protein FlgN,,,map02040,Flagellar assembly,,
K02400,flhA; flagellar biosynthesis protein FlhA,,,map02040,Flagellar assembly,,
K02401,flhB; flagellar biosynthetic protein FlhB,,,map02040,Flagellar assembly,,
K02402,flhC; flagellar transcriptional activator FlhC,,,map02040,Flagellar assembly,,
K02403,flhD; flagellar transcriptional activator FlhD,,,map02040,Flagellar assembly,,
K02404,flhF; flagellar biosynthesis protein FlhF,,,,,,
K02405,fliA; RNA polymerase sigma factor for flagellar operon FliA,,,map05111,Biofilm formation - Vibrio cholerae,,
K02406,fliC; flagellin,,,map05134,Legionellosis,,
K02407,fliD; flagellar hook-associated protein 2,,,map02040,Flagellar assembly,,
K02408,fliE; flagellar hook-basal body complex protein FliE,,,map02040,Flagellar assembly,,
K02409,fliF; flagellar M-ring protein FliF,,,map02040,Flagellar assembly,,
K02410,fliG; flagellar motor switch protein FliG,,,map02040,Flagellar assembly,,
K02411,fliH; flagellar assembly protein FliH,,,map02040,Flagellar assembly,,
K02412,fliI; flagellum-specific ATP synthase [EC:7.4.2.8],,,map02040,Flagellar assembly,,
K02413,fliJ; flagellar FliJ protein,,,map02040,Flagellar assembly,,
K02414,fliK; flagellar hook-length control protein FliK,,,map02040,Flagellar assembly,,
K02415,fliL; flagellar FliL protein,,,,,,
K02416,fliM; flagellar motor switch protein FliM,,,map02040,Flagellar assembly,,
K02417,"fliNY, fliN; flagellar motor switch protein FliN/FliY",,,map02040,Flagellar assembly,,
K02418,"fliOZ, fliO; flagellar protein FliO/FliZ",,,map02040,Flagellar assembly,,
K02419,fliP; flagellar biosynthetic protein FliP,,,map02040,Flagellar assembly,,
K02420,fliQ; flagellar biosynthetic protein FliQ,,,map02040,Flagellar assembly,,
K02421,fliR; flagellar biosynthetic protein FliR,,,map02040,Flagellar assembly,,
K02422,fliS; flagellar protein FliS,,,map02040,Flagellar assembly,,
K02423,fliT; flagellar protein FliT,,,map02040,Flagellar assembly,,
K02424,"fliY, tcyA; L-cystine transport system substrate-binding protein",,,map02010,ABC transporters,,
K02425,fliZ; regulator of sigma S factor FliZ,,,map02026,Biofilm formation - Escherichia coli,,
K02426,sufE; cysteine desulfuration protein SufE,,,,,,
K02427,"rlmE, rrmJ, ftsJ; 23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]",,,,,,
K02428,rdgB; XTP/dITP diphosphohydrolase [EC:3.6.1.66],,,map01100,Metabolic pathways,,
K02429,"fucP; MFS transporter, FHS family, L-fucose permease",,,,,,
K02430,"fucR; DeoR family transcriptional regulator, L-fucose operon activator",,,,,,
K02431,"fucU, FUOM; L-fucose mutarotase [EC:5.1.3.29]",R10764,alpha-L-Fucopyranose <=> beta-L-Fucopyranose,,,,
K02432,"FZD1_7, fz; frizzled 1/7",,,map05226,Gastric cancer,,
K02433,"gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]",R04212,L-Asparaginyl-tRNA(Asn) + L-Glutamate + Orthophosphate + ADP <=> L-Aspartyl-tRNA(Asn) + L-Glutamine + ATP + H2O,map01100,Metabolic pathways,,
K02434,"gatB, PET112; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]",R04212,L-Asparaginyl-tRNA(Asn) + L-Glutamate + Orthophosphate + ADP <=> L-Aspartyl-tRNA(Asn) + L-Glutamine + ATP + H2O,map01100,Metabolic pathways,,
K02435,"gatC, GATC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]",R04212,L-Asparaginyl-tRNA(Asn) + L-Glutamate + Orthophosphate + ADP <=> L-Aspartyl-tRNA(Asn) + L-Glutamine + ATP + H2O,map01100,Metabolic pathways,,
K02436,"gatR; DeoR family transcriptional regulator, galactitol utilization operon repressor",,,,,,
K02437,"gcvH, GCSH; glycine cleavage system H protein",R01221,"Glycine + Tetrahydrofolate + NAD+ <=> 5,10-Methylenetetrahydrofolate + Ammonia + CO2 + NADH + H+",map01200,Carbon metabolism,M00532,Photorespiration
K02438,glgX; glycogen debranching enzyme [EC:3.2.1.196],R02111,Starch + Orthophosphate <=> Amylose + D-Glucose 1-phosphate,map01100,Metabolic pathways,M00855,"Glycogen degradation, glycogen => glucose-6P"
K02439,glpE; thiosulfate sulfurtransferase [EC:2.8.1.1],R01931,Thiosulfate + Cyanide ion <=> Sulfite + Thiocyanate,map01120,Microbial metabolism in diverse environments,,
K02440,GLPF; glycerol uptake facilitator protein,,,,,,
K02441,glpG; GlpG protein,,,,,,
K02442,glpM; membrane protein GlpM,,,,,,
K02443,glpP; glycerol uptake operon antiterminator,,,,,,
K02444,"glpR; DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor",,,,,,
K02445,"glpT; MFS transporter, OPA family, glycerol-3-phosphate transporter",,,,,,
K02446,"glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]",R04780,"beta-D-Fructose 1,6-bisphosphate + H2O <=> beta-D-Fructose 6-phosphate + Orthophosphate",map01200,Carbon metabolism,M00167,"Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P"
K02447,GRK; protein gruken,,,map04320,Dorso-ventral axis formation,,
K02448,norD; nitric oxide reductase NorD protein,R00294,2 Nitric oxide + 2 Ferrocytochrome c + 2 H+ <=> Nitrous oxide + 2 Ferricytochrome c + H2O,,,,
K02449,CDK10; cyclin-dependent kinase 10 [EC:2.7.11.22],,,,,,
K02450,gspA; general secretion pathway protein A,,,,,,
K02451,gspB; general secretion pathway protein B,,,,,,
K02452,gspC; general secretion pathway protein C,,,map05111,Biofilm formation - Vibrio cholerae,,
K02453,gspD; general secretion pathway protein D,,,map05111,Biofilm formation - Vibrio cholerae,,
K02454,gspE; general secretion pathway protein E [EC:7.4.2.8],,,map05111,Biofilm formation - Vibrio cholerae,,
K02455,gspF; general secretion pathway protein F,,,map05111,Biofilm formation - Vibrio cholerae,,
K02456,gspG; general secretion pathway protein G,,,map05111,Biofilm formation - Vibrio cholerae,,
K02457,gspH; general secretion pathway protein H,,,map05111,Biofilm formation - Vibrio cholerae,,
K02458,gspI; general secretion pathway protein I,,,map05111,Biofilm formation - Vibrio cholerae,,
K02459,gspJ; general secretion pathway protein J,,,map05111,Biofilm formation - Vibrio cholerae,,
K02460,gspK; general secretion pathway protein K,,,map05111,Biofilm formation - Vibrio cholerae,,
K02461,gspL; general secretion pathway protein L,,,map05111,Biofilm formation - Vibrio cholerae,,
K02462,gspM; general secretion pathway protein M,,,map05111,Biofilm formation - Vibrio cholerae,,
K02463,gspN; general secretion pathway protein N,,,map05111,Biofilm formation - Vibrio cholerae,,
K02464,gspO; general secretion pathway protein O [EC:3.4.23.43 2.1.1.-],,,map03070,Bacterial secretion system,,
K02465,gspS; general secretion pathway protein S,,,map03070,Bacterial secretion system,,
K02466,gutM; glucitol operon activator protein,,,,,,
K02467,gutQ; arabinose 5-phosphate isomerase [EC:5.3.1.13],R01530,D-Arabinose 5-phosphate <=> D-Ribulose 5-phosphate,,,,
K02468,"srlR, gutR; DeoR family transcriptional regulator, glucitol operon repressor",,,,,,
K02469,gyrA; DNA gyrase subunit A [EC:5.6.2.2],,,,,,
K02470,gyrB; DNA gyrase subunit B [EC:5.6.2.2],,,,,,
K02471,bacA; vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein,,,map02010,ABC transporters,,
K02472,wecC; UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336],R03317,UDP-N-acetyl-D-mannosamine + 2 NAD+ + H2O <=> UDP-N-acetyl-D-mannosaminouronate + 2 NADH + 2 H+,map05111,Biofilm formation - Vibrio cholerae,,
K02473,wbpP; UDP-N-acetylglucosamine 4-epimerase [EC:5.1.3.7],R08706,UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate <=> UDP-N-acetyl-D-galactosaminuronic acid,map01100,Metabolic pathways,,
K02474,wbpO; UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.-],R06894,UDP-N-acetyl-D-galactosamine + 2 NAD+ + H2O <=> UDP-N-acetyl-D-galactosaminuronic acid + 2 NADH + 2 H+,map01100,Metabolic pathways,,
K02475,"K02475; two-component system, CitB family, response regulator",,,,,,
K02476,"K02476; two-component system, CitB family, sensor kinase [EC:2.7.13.3]",,,,,,
K02477,"K02477; two-component system, LytTR family, response regulator",,,,,,
K02478,"K02478; two-component system, LytTR family, sensor kinase [EC:2.7.13.3]",,,,,,
K02479,"K02479; two-component system, NarL family, response regulator",,,,,,
K02480,"K02480; two-component system, NarL family, sensor kinase [EC:2.7.13.3]",,,,,,
K02481,"K02481; two-component system, NtrC family, response regulator",,,,,,
K02482,"K02482; two-component system, NtrC family, sensor kinase [EC:2.7.13.3]",,,,,,
K02483,"K02483; two-component system, OmpR family, response regulator",,,,,,
K02484,"K02484; two-component system, OmpR family, sensor kinase [EC:2.7.13.3]",,,,,,
K02485,"rssB, hnr; two-component system, response regulator",,,,,,
K02486,"K02486; two-component system, sensor kinase [EC:2.7.13.3]",,,,,,
K02487,pilL; type IV pili sensor histidine kinase and response regulator,,,map02020,Two-component system,,
K02488,"pleD; two-component system, cell cycle response regulator [EC:2.7.7.65]",R08057,"2 GTP <=> 3',5'-Cyclic diGMP + 2 Diphosphate",map04112,Cell cycle - Caulobacter,,
K02489,"hk1; two-component system, glycerol uptake and utilization sensor kinase [EC:2.7.13.3]",,,map02020,Two-component system,,
K02490,"spo0F; two-component system, response regulator, stage 0 sporulation protein F",,,map02024,Quorum sensing,,
K02491,"kinA; two-component system, sporulation sensor kinase A [EC:2.7.13.3]",,,map02020,Two-component system,,
K02492,hemA; glutamyl-tRNA reductase [EC:1.2.1.70],R04109,L-Glutamyl-tRNA(Glu) + NADPH + H+ <=> (S)-4-Amino-5-oxopentanoate + tRNA(Glu) + NADP+,map01120,Microbial metabolism in diverse environments,M00846,"Siroheme biosynthesis, glutamate => siroheme"
K02493,"hemK, prmC, HEMK; release factor glutamine methyltransferase [EC:2.1.1.297]",R10806,Protein glutamine + S-Adenosyl-L-methionine <=> Protein N5-methyl-L-glutamine + S-Adenosyl-L-homocysteine,,,,
K02494,lolB; outer membrane lipoprotein LolB,,,,,,
K02495,"hemN, hemZ; oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]",R06895,Coproporphyrinogen III + 2 S-Adenosyl-L-methionine <=> Protoporphyrinogen IX + 2 CO2 + 2 L-Methionine + 2 5'-Deoxyadenosine,map01110,Biosynthesis of secondary metabolites,M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme"
K02496,hemX; uroporphyrin-III C-methyltransferase [EC:2.1.1.107],R03194,2 S-Adenosyl-L-methionine + Uroporphyrinogen III <=> 2 S-Adenosyl-L-homocysteine + Precorrin 2,map01120,Microbial metabolism in diverse environments,M00846,"Siroheme biosynthesis, glutamate => siroheme"
K02497,hemX; HemX protein,,,,,,
K02498,hemY; HemY protein,,,,,,
K02499,yabN; tetrapyrrole methylase family protein / MazG family protein,,,,,,
