,CHEM_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,CHRO_LIB_ENTRY_ID,COMP_ID,LIB_ID,PLATFORM
fructose,878,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",1363.0,NAMED,RFSUNEUAIZKAJO-ARQDHWQXSA-N,OC[C@@]1(O)O[C@H](CO)[C@@H](O)[C@@H]1O,fructose,fructose,57-48-7,5764.0,HMDB0000660,C00095,2723872.0,153126,48195,305,Polar
caprate (10:0),888,Lipid,Medium Chain Fatty Acid,1511.0,NAMED,GHVNFZFCNZKVNT-UHFFFAOYSA-N,CCCCCCCCCC(O)=O,caprate (10:0),caprate (10:0),334-48-5,2863.0,HMDB0000511,C01571,2969.0,125736,1642,209,Neg
margarate (17:0),891,Lipid,Long Chain Saturated Fatty Acid,1529.0,NAMED,KEMQGTRYUADPNZ-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCCCCC,margarate (17:0),margarate (17:0),506-12-7,10033.0,HMDB0002259,,10465.0,125718,1121,209,Neg
nonadecanoate (19:0),892,Lipid,Long Chain Saturated Fatty Acid,1533.0,NAMED,ISYWECDDZWTKFF-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCC(O)=O,nonadecanoate (19:0),nonadecanoate (19:0),646-30-0,12071.0,HMDB0000772,C16535,12591.0,125722,1356,209,Neg
arachidate (20:0),893,Lipid,Long Chain Saturated Fatty Acid,1534.0,NAMED,VKOBVWXKNCXXDE-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCC(O)=O,arachidate (20:0),arachidate (20:0),506-30-9,10035.0,HMDB0002212,C06425,10467.0,125716,1118,209,Neg
asparagine,917,Amino Acid,Alanine and Aspartate Metabolism,40.0,NAMED,DCXYFEDJOCDNAF-REOHCLBHSA-N,NC(C[C@H](N)C(O)=O)=O,asparagine,asparagine,70-47-3,6031.0,HMDB0000168,C00152,6267.0,155306,512,400,Pos Early
N-stearoyl-sphinganine (d18:0/18:0)*,922,Lipid,Dihydroceramides,3030.0,NAMED,KZTJQXAANJHSCE-OIDHKYIRSA-N,CCCCCCCCCCCCCCCCCC(N[C@H]([C@H](O)CCCCCCCCCCCCCCC)CO)=O,N-stearoyl-sphinganine (d18:0/18:0)*,N-stearoyl-sphinganine (d18:0/18:0)*,2304-80-5,4446686.0,HMDB0011761,,5283573.0,211070,1759,402,Pos Late
dihydroorotate,923,Nucleotide,"Pyrimidine Metabolism, Orotate containing",4225.0,NAMED,UFIVEPVSAGBUSI-UHFFFAOYSA-N,O=C(C(NC1=O)CC(N1)=O)O,dihydroorotate,dihydroorotate,155-54-4,628.0,HMDB03349,C00337,648.0,145712,601,305,Polar
caproate (6:0),926,Lipid,Medium Chain Fatty Acid,1506.0,NAMED,FUZZWVXGSFPDMH-UHFFFAOYSA-N,CCCCCC(O)=O,caproate (6:0),caproate (6:0),142-62-1,8552.0,HMDB0000535,C01585,8892.0,125850,32489,209,Neg
caprylate (8:0),932,Lipid,Medium Chain Fatty Acid,1508.0,NAMED,WWZKQHOCKIZLMA-UHFFFAOYSA-N,CCCCCCCC(O)=O,caprylate (8:0),caprylate (8:0),124-07-2,370.0,HMDB0000482,C06423,379.0,125852,32492,209,Neg
pentadecanoate (15:0),980,Lipid,Long Chain Saturated Fatty Acid,1526.0,NAMED,WQEPLUUGTLDZJY-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCCC,pentadecanoate (15:0),pentadecanoate (15:0),"10002-84-2,1002-84-2",13249.0,HMDB0000826,C16537,13849.0,125726,1361,209,Neg
trans-4-hydroxyproline,1001,Amino Acid,Urea cycle; Arginine and Proline Metabolism,520.0,NAMED,PMMYEEVYMWASQN-DMTCNVIQSA-N,O[C@@H]1C[C@@H](C(O)=O)NC1,trans-4-hydroxyproline,hydroxyproline,51-35-4,5605.0,HMDB0000725,C01157,5810.0,155905,32306,400,Pos Early
allantoin,1002,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4152.0,NAMED,POJWUDADGALRAB-UHFFFAOYSA-N,O=C(N1)C(NC(N)=O)NC1=O,allantoin,allantoin,97-59-6,199.0,HMDB0000462,"C02348,C01551,C02350",439714204439713.0,146424,1107,305,Polar
xanthine,1004,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4140.0,NAMED,LRFVTYWOQMYALW-UHFFFAOYSA-N,O=C(N1)C(N=CN2)=C2NC1=O,xanthine,xanthine,69-89-6,1151.0,HMDB0000292,C00385,1188.0,147146,3147,305,Polar
5-oxoproline,1021,Amino Acid,Glutathione Metabolism,587.0,NAMED,ODHCTXKNWHHXJC-VKHMYHEASA-N,O=C1CC[C@@H]([C@@](O)=O)N1,5-oxoproline,5-oxoproline,98-79-3,7127.0,HMDB0000267,"C02237,C01879",4396857405.0,123209,1494,209,Neg
sarcosine,1023,Amino Acid,"Glycine, Serine and Threonine Metabolism",5.0,NAMED,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,CNCC(O)=O,sarcosine,sarcosine,107-97-1,1057.0,HMDB0000271,C00213,1088.0,155390,1516,400,Pos Early
pantothenate,1024,Cofactors and Vitamins,Pantothenate and CoA Metabolism,4356.0,NAMED,GHOKWGTUZJEAQD-ZETCQYMHSA-N,O=C(NCCC(O)=O)[C@H](O)C(C)(C)CO,pantothenate,pantothenate (Vitamin B5),137-08-6,6361.0,HMDB0000210,C00864,6613.0,124797,1508,209,Neg
pipecolate,1025,Amino Acid,Lysine Metabolism,133.0,NAMED,HXEACLLIILLPRG-UHFFFAOYSA-N,OC(C1NCCCC1)=O,pipecolate,pipecolate,4043-87-2,,HMDB0000070,,,155369,1444,400,Pos Early
phosphoethanolamine,1026,Lipid,Phospholipid Metabolism,2255.0,NAMED,SUHOOTKUPISOBE-UHFFFAOYSA-N,NCCOP(O)(O)=O,phosphoethanolamine,phosphoethanolamine (PE),1071-23-4,990.0,HMDB0000224,C00346,1015.0,155428,1600,400,Pos Early
glycerate,1052,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1259.0,NAMED,RBNPOMFGQQGHHO-UHFFFAOYSA-N,O=C(O)C(O)CO,glycerate,glycerate,600-19-1,732.0,"HMDB0000139,HMDB0006372",C00258,439194752.0,146444,1572,305,Polar
3-ureidopropionate,1053,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4257.0,NAMED,JSJWCHRYRHKBBW-UHFFFAOYSA-N,OC(CCNC(N)=O)=O,3-ureidopropionate,3-ureidopropionate,462-88-4,109.0,HMDB0000026,C02642,111.0,147504,3155,305,Polar
N-acetylleucine,1082,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",341.0,NAMED,WXNXCEHXYPACJF-ZETCQYMHSA-N,O=C(O)[C@H](CC(C)C)NC(C)=O,N-acetylleucine,N-acetylleucine,1188-21-2,64075.0,HMDB0011756,C02710,70912.0,126818,1587,209,Neg
N-acetylmethionine,1083,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",441.0,NAMED,XUYPXLNMDZIRQH-LURJTMIESA-N,O=C(O)[C@H](CCSC)NC(C)=O,N-acetylmethionine,N-acetylmethionine,65-82-7,395338.0,HMDB0011745,C02712,448580.0,124587,1589,209,Neg
N-acetylvaline,1084,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",422.0,NAMED,IHYJTAOFMMMOPX-LURJTMIESA-N,O=C(O)[C@@H](NC(C)=O)C(C)C,N-acetylvaline,N-acetylvaline,96-81-1,60154.0,HMDB0011757,,66789.0,124807,1591,209,Neg
erucate (22:1n9),1087,Lipid,Long Chain Monounsaturated Fatty Acid,1564.0,NAMED,DPUOLQHDNGRHBS-KTKRTIGZSA-N,OC(CCCCCCCCCCC\C=C/CCCCCCCC)=O,erucate (22:1n9),erucate (22:1n9),112-86-7,7924.0,HMDB0002068,C08316,82165281116.0,125983,1552,209,Neg
"bilirubin (Z,Z)",1090,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,4428.0,NAMED,BPYKTIZUTYGOLE-KDUUSRDASA-N,CC(C(N\1)=O)=C(C=C)C1=C/C2=C(C)C(CCC(O)=O)=C(CC3=C(CCC(O)=O)C(C)=C(/C=C4NC(C(C=C)=C/4C)=O)N3)N2,"bilirubin (Z,Z)",bilirubin,635-65-4,4444055.0,HMDB0000054,C00486,5280352.0,159596,43807,402,Pos Late
thyroxine,1094,Amino Acid,Tyrosine Metabolism,250.0,NAMED,XUIIKFGFIJCVMT-LBPRGKRZSA-N,OC1=C(I)C=C(OC2=C(I)C=C(C[C@H](N)C(O)=O)C=C2I)C=C1I,thyroxine,thyroxine,51-48-9,5614.0,HMDB0000248,C01829,5819.0,161549,2761,209,Neg
alpha-tocopherol,1105,Cofactors and Vitamins,Tocopherol Metabolism,4380.0,NAMED,GVJHHUAWPYXKBD-IEOSBIPESA-N,CC1=C2C(O[C@@](CCC[C@H](C)CCC[C@H](C)CCC[C@H](C)C)(C)CC2)=C(C)C(C)=C1O,alpha-tocopherol,alpha-tocopherol,"10191-41-0,59-02-9",14265.0,HMDB0001893,C02477,86472.0,164189,1561,402,Pos Late
N-acetylalanine,1110,Amino Acid,Alanine and Aspartate Metabolism,31.0,NAMED,KTHDTJVBEPMMGL-VKHMYHEASA-N,O=C(O)[C@@H](NC(C)=O)C,N-acetylalanine,N-acetylalanine,97-69-8,79449.0,HMDB0000766,C02847,88064.0,147717,1585,305,Polar
vanillylmandelate (VMA),1111,Amino Acid,Tyrosine Metabolism,207.0,NAMED,CGQCWMIAEPEHNQ-UHFFFAOYSA-N,OC(C(O)=O)C1=CC=C(O)C(OC)=C1,vanillylmandelate (VMA),vanillylmandelate (VMA),55-10-7,1207.0,HMDB0000291,C05584,1245.0,124579,1567,209,Neg
4-acetamidobutanoate,1113,Amino Acid,Polyamine Metabolism,568.0,NAMED,UZTFMUBKZQVKLK-UHFFFAOYSA-N,CC(NCCCC(O)=O)=O,4-acetamidobutanoate,4-acetamidobutanoate,3025-96-5,17180.0,HMDB0003681,C02946,18189.0,155399,1558,400,Pos Early
3-aminoisobutyrate,1114,Nucleotide,"Pyrimidine Metabolism, Thymine containing",4302.0,NAMED,QCHPKSFMDHPSNR-UHFFFAOYSA-N,O=C(O)C(C)CN,3-aminoisobutyrate,3-aminoisobutyrate,"214139-20-5,10569-72-9",58481.0,HMDB0002166,C05145,64956.0,155405,1566,400,Pos Early
citrate,1124,Energy,TCA Cycle,1456.0,NAMED,KRKNYBCHXYNGOX-UHFFFAOYSA-N,OC(CC(CC(O)=O)(O)C(O)=O)=O,citrate,citrate,77-92-9,305.0,HMDB0000094,C00158,311.0,124575,1564,209,Neg
2-aminobutyrate,1128,Amino Acid,Glutathione Metabolism,588.0,NAMED,QWCKQJZIFLGMSD-GSVOUGTGSA-N,N[C@H](CC)C(O)=O,2-aminobutyrate,2-aminobutyrate,1492-24-6,388757.0,HMDB0000452,C02356,80283.0,156916,42374,400,Pos Early
urate,1134,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4150.0,NAMED,LEHOTFFKMJEONL-UHFFFAOYSA-N,O=C1NC(NC(NC2=O)=O)=C2N1,urate,urate,"120K5305,69-93-2",,HMDB0000289,C00366,1175.0,124593,1604,209,Neg
gamma-glutamylglutamine,1140,Peptide,Gamma-glutamyl Amino Acid,650.0,NAMED,JBFYFLXEJFQWMU-WDSKDSINSA-N,O=C(N)CC[C@@H](C(O)=O)NC(CC[C@@H](C(O)=O)N)=O,gamma-glutamylglutamine,gamma-glutamylglutamine,10148-81-9,133013.0,HMDB0011738,C05283,150914.0,155470,2730,400,Pos Early
butyrate/isobutyrate (4:0),1143,Lipid,Short Chain Fatty Acid,1504.0,NAMED,FERIUCNNQQJTOY-UHFFFAOYSA-N,OC(CCC)=O,butyrate/isobutyrate (4:0),butyrate/isobutyrate (4:0),109-92-6,259.0,HMDB0000039,C00246,264.0,223227,40605,209,Neg
N-acetylneuraminate,1162,Carbohydrate,Aminosugar Metabolism,1435.0,NAMED,SQVRNKJHWKZAKO-UHFFFAOYSA-N,OC1(C(O)=O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O1,N-acetylneuraminate,N-acetylneuraminate,131-48-6,10292217.0,HMDB0000230,C00270,439197.0,155919,32377,400,Pos Early
creatine,1221,Amino Acid,Creatine Metabolism,536.0,NAMED,CVSVTCORWBXHQV-UHFFFAOYSA-N,CN(C(N)=N)CC(O)=O,creatine,creatine,57-00-1,566.0,HMDB0000064,C00300,586.0,124913,27718,209,Neg
"cys-gly, oxidized",1224,Amino Acid,Glutathione Metabolism,586.0,NAMED,KDJVKDYFFTWHBO-UHFFFAOYSA-N,O=C(NCC(O)=O)C(N)CSSCC(N)C(NCC(O)=O)=O,"cys-gly, oxidized","cys-gly, oxidized",7729-20-6,295316.0,,,333293.0,155661,18368,400,Pos Early
dihomo-linoleate (20:2n6),1231,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1587.0,NAMED,XSXIVVZCUAHUJO-HZJYTTRNSA-N,O=C(O)CCCCCCCCC/C=C\C/C=C\CCCCC,dihomo-linoleate (20:2n6),dihomolinoleate (20:2n6),2091-39-6,4944228.0,HMDB0005060,C16525,6439848.0,126039,17805,209,Neg
gamma-glutamylhistidine,1235,Peptide,Gamma-glutamyl Amino Acid,652.0,NAMED,PXVCMZCJAUJLJP-YUMQZZPRSA-N,O=C(O)[C@@H](N)CCC(N[C@@H](CC1=CNC=N1)C(O)=O)=O,gamma-glutamylhistidine,gamma-glutamylhistidine,37460-15-4,5380197.0,HMDB0029151,,7017195.0,155638,18245,400,Pos Early
2-hydroxystearate,1239,Lipid,"Fatty Acid, Monohydroxy",1988.0,NAMED,KIHBGTRZFAVZRV-QGZVFWFLSA-N,OC([C@H](O)CCCCCCCCCCCCCCCC)=O,2-hydroxystearate,2-hydroxystearate,629-22-1,62625.0,HMDB0062549,"C03042,C03045",4.39887439885694e+16,126830,17945,209,Neg
N1-methyladenosine,1242,Nucleotide,"Purine Metabolism, Adenine containing",4172.0,NAMED,GFYLSDSUCHVORB-IOSLPCCCSA-N,N=C1C2=C(N([C@@]3([H])[C@@](O)([H])[C@@](O)([H])[C@](CO)([H])O3)C=N2)N=CN1C,N1-methyladenosine,1-methyladenosine,15763-06-1,4573813.0,HMDB0003331,C02494,27476.0,155564,15650,400,Pos Early
glycerol,1254,Lipid,Glycerolipid Metabolism,2859.0,NAMED,PEDCQBHIVMGVHV-UHFFFAOYSA-N,OC(CO)CO,glycerol,glycerol,56-81-5,733.0,HMDB0000131,C00116,753.0,126021,15122,209,Neg
choline,1256,Lipid,Phospholipid Metabolism,2249.0,NAMED,CRBHXDCYXIISFC-UHFFFAOYSA-N,[O-]CC[N+](C)(C)C,choline,choline,67-48-1,149278.0,HMDB0000097,C00114,305.0,155556,15506,400,Pos Early
gamma-glutamylleucine,1268,Peptide,Gamma-glutamyl Amino Acid,654.0,NAMED,MYFMARDICOWMQP-YUMQZZPRSA-N,CC(C)C[C@@H](C(O)=O)NC(CC[C@@H](C(O)=O)N)=O,gamma-glutamylleucine,gamma-glutamylleucine,2566-39-4,133115.0,HMDB0011171,,151023.0,155662,18369,400,Pos Early
3-methoxytyrosine,1342,Amino Acid,Tyrosine Metabolism,209.0,NAMED,PFDUUKDQEHURQC-ZETCQYMHSA-N,COC1=C(O)C=CC(C[C@@H](C(O)=O)N)=C1,3-methoxytyrosine,3-methoxytyrosine,300-48-1,8948.0,HMDB0001434,,9307.0,155509,12017,400,Pos Early
beta-hydroxyisovalerate,1442,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",368.0,NAMED,AXFYFNCPONWUHW-UHFFFAOYSA-N,CC(C)(O)CC(O)=O,beta-hydroxyisovalerate,beta-hydroxyisovalerate,625-08-1,62571.0,HMDB0000754,,69362.0,126017,12129,209,Neg
palmitoyl ethanolamide,1489,Lipid,Endocannabinoid,2179.0,NAMED,HXYVTAGFYLMHSO-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(NCCO)=O,palmitoyl ethanolamide,palmitoyl ethanolamide,544-31-0,4509.0,HMDB0002100,C16512,4671.0,127721,38165,209,Neg
oleamide,1504,Lipid,"Fatty Acid, Amide",1761.0,NAMED,FATBGEAMYMYZAF-KTKRTIGZSA-N,NC(CCCCCCC\C=C/CCCCCCCC)=O,oleamide,oleamide,301-02-0,4446508.0,HMDB0002117,C19670,5283387.0,125848,32458,209,Neg
N-palmitoyl-sphingosine (d18:1/16:0),1518,Lipid,Ceramides,3039.0,NAMED,YDNKGFDKKRUKPY-TURZORIXSA-N,OC[C@@H]([C@H](O)/C=C/CCCCCCCCCCCCC)NC(CCCCCCCCCCCCCCC)=O,N-palmitoyl-sphingosine (d18:1/16:0),N-palmitoyl-sphingosine (d18:1/16:0),24696-26-2,4446677.0,HMDB0004949,,5283564.0,164219,44877,402,Pos Late
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),1526,Lipid,Phosphatidylethanolamine (PE),2425.0,NAMED,FHQVHHIBKUMWTI-OTMQOFQLSA-N,CCCCCCCC\C=C/CCCCCCCC(O[C@](COC(CCCCCCCCCCCCCCC)=O)(COP([O-])(OCC[N+]([H])([H])[H])=O)[H])=O,1-palmitoyl-2-oleoyl-GPE (16:0/18:1),1-palmitoyl-2-oleoyl-GPE (16:0/18:1),26662-94-2,4446615.0,HMDB0005320,,5283496.0,164198,19263,402,Pos Late
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),1528,Lipid,Phosphatidylinositol (PI),2553.0,NAMED,BSNJSZUDOMPYIR-DMDPBSJXSA-N,O=C(CCCCCCC/C=C\C/C=C\CCCCC)O[C@@H](COP(OC1C(O)C(O)C(O)C(O)C1O)(O)=O)COC(CCCCCCCCCCCCCCC)=O,1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),,21403024.0,HMDB0009784,,46891795.0,210818,52450,402,Pos Late
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),1537,Lipid,Phosphatidylcholine (PC),2303.0,NAMED,JLPULHDHAOZNQI-ZTIMHPMXSA-N,O=P([O-])(OC[C@@H](COC(CCCCCCCCCCCCCCC)=O)OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)OCC[N+](C)(C)C,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),40811-94-7,4450224.0,HMDB0007973,,5287971.0,165129,42446,402,Pos Late
stearoyl sphingomyelin (d18:1/18:0),1538,Lipid,Sphingomyelins,3124.0,NAMED,LKQLRGMMMAHREN-YJFXYUILSA-N,CCCCCCCCCCCCCCCCCC(N[C@@](COP([O-])(OCC[N+](C)(C)C)=O)([C@](O)(/C=C/CCCCCCCCCCCCC)[H])[H])=O,stearoyl sphingomyelin (d18:1/18:0),stearoyl sphingomyelin (d18:1/18:0),"85187-10-6,85187-10-6",4956085.0,HMDB0001348,C00550,6453725.0,164530,19503,402,Pos Late
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),1539,Lipid,Phosphatidylcholine (PC),2300.0,NAMED,WTJKGGKOPKCXLL-PFDVCBLKSA-N,O=C(CCCCCCC/C=C\CCCCCCCC)O[C@@H](COC(CCCCCCCCCCCCCCC)=O)COP(OCC[N+](C)(C)C)([O-])=O,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),1-palmitoyl-2-oleoyl-GPC (16:0/18:1),"26853-31-6,26853-31-6",4940699.0,HMDB0007972,C13875,6436017.0,165127,52461,402,Pos Late
N-stearoyl-sphingosine (d18:1/18:0)*,1547,Lipid,Ceramides,3043.0,NAMED,VODZWWMEJITOND-NXCSZAMKSA-N,OC[C@H](NC(CCCCCCCCCCCCCCCCC)=O)[C@H](O)/C=C/CCCCCCCCCCCCC,N-stearoyl-sphingosine (d18:1/18:0)*,N-stearoyl-sphingosine (d18:1/18:0)*,104404-17-3,4446678.0,HMDB0004950,,5283565.0,208064,54979,402,Pos Late
glycochenodeoxycholate,1628,Lipid,Primary Bile Acid Metabolism,3480.0,NAMED,GHCZAUBVMUEKKP-AZDOMVTHSA-N,O=C(NCC(O)=O)CC[C@@H](C)[C@@H]1[C@](CC[C@H]2[C@@]3([H])[C@H](O)C[C@@]4([H])C2(C)CC[C@@H](O)C4)(C)[C@]3([H])CC1,glycochenodeoxycholate,glycochenodeoxycholate,16564-43-5,,HMDB0000637,C05466,12544.0,124921,32346,209,Neg
taurochenodeoxycholate,1629,Lipid,Primary Bile Acid Metabolism,3481.0,NAMED,BHTRKEVKTKCXOH-BJLOMENOSA-N,C[C@@]12[C@@]([H])(CC[C@@]2([C@@H](CCC(NCCS(O)(=O)=O)=O)C)[H])[C@@]([C@@H](C[C@]3([H])C[C@H](O)CC4)O)([H])[C@]([C@]34C)([H])CC1,taurochenodeoxycholate,taurochenodeoxycholate,6009-98-9,343282.0,HMDB0000951,C05465,387316.0,124667,18494,209,Neg
2-hydroxyhippurate (salicylurate),1869,Xenobiotics,Benzoate Metabolism,4486.0,NAMED,ONJSZLXSECQROL-UHFFFAOYSA-N,O=C(C1=CC=CC=C1O)NCC(O)=O,2-hydroxyhippurate (salicylurate),2-hydroxyhippurate (salicylurate),487-54-7,9835.0,HMDB0000840,C07588,10253.0,124655,18281,209,Neg
eicosapentaenoate (EPA; 20:5n3),2050,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1577.0,NAMED,JAZBEHYOTPTENJ-JLNKQSITSA-N,O=C(O)CCC\C=C/C/C=C\C/C=C\C/C=C\C/C=C\CC,eicosapentaenoate (EPA; 20:5n3),eicosapentaenoate (EPA; 20:5n3),"10-2005-9,10417-94-4",393682.0,HMDB0001999,C06428,446284.0,126840,18467,209,Neg
methylsuccinate,2051,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",415.0,NAMED,WXUAQHNMJWJLTG-UHFFFAOYSA-N,CC(C(O)=O)CC(O)=O,methylsuccinate,methylsuccinate,498-21-5,9922.0,HMDB0001844,,10349.0,146490,15745,305,Polar
ethylmalonate,2054,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",412.0,NAMED,UKFXDFUAPNAMPJ-UHFFFAOYSA-N,CCC(C(O)=O)C(O)=O,ethylmalonate,ethylmalonate,601-75-2,11263.0,HMDB0000622,,11756.0,147158,15765,305,Polar
carnitine,100000007,Lipid,Carnitine Metabolism,1949.0,NAMED,PHIQHXFUZVPYII-ZCFIWIBFSA-N,[O-]C(C[C@@H](O)C[N+](C)(C)C)=O,carnitine,carnitine,461-05-2,10455.0,HMDB0000062,"C00487,C00308",288.0,155554,15500,400,Pos Early
benzoate,100000008,Xenobiotics,Benzoate Metabolism,4497.0,NAMED,WPYMKLBDIGXBTP-UHFFFAOYSA-N,OC(C1=CC=CC=C1)=O,benzoate,benzoate,65-85-0,238.0,HMDB0001870,C00180,243.0,124867,15778,209,Neg
3-phenylpropionate (hydrocinnamate),100000010,Xenobiotics,Benzoate Metabolism,4595.0,NAMED,XMIIGOLPHOKFCH-UHFFFAOYSA-N,OC(CCC1=CC=CC=C1)=O,3-phenylpropionate (hydrocinnamate),3-phenylpropionate (hydrocinnamate),501-52-0,10181339.0,HMDB0000764,C05629,107.0,126035,15749,209,Neg
hippurate,100000014,Xenobiotics,Benzoate Metabolism,4482.0,NAMED,QIAFMBKCNZACKA-UHFFFAOYSA-N,O=C(C1=CC=CC=C1)NCC(O)=O,hippurate,hippurate,495-69-2,451.0,HMDB0000714,C01586,464.0,124647,15753,209,Neg
3-methyl-2-oxovalerate,100000036,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",399.0,NAMED,JVQYSWDUAOAHFM-UHFFFAOYSA-N,CCC(C)C(C(O)=O)=O,3-methyl-2-oxovalerate,3-methyl-2-oxovalerate,"51829-07-3,1460-34-0",46.0,HMDB0000491,"C03465,C06008,C00671",439286440877.0,123263,15676,209,Neg
methionine sulfoxide,100000039,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",446.0,NAMED,QEFRNWWLZKMPFJ-YGVKFDHGSA-N,O=C(O)[C@@H](N)CCS(C)=O,methionine sulfoxide,methionine sulfoxide,3226-65-1,139840.0,HMDB0002005,C02989,158980.0,155665,18374,400,Pos Early
3-methylhistidine,100000042,Amino Acid,Histidine Metabolism,74.0,NAMED,JDHILDINMRGULE-LURJTMIESA-N,N[C@H](C(O)=O)CC1=CN=CN1C,3-methylhistidine,3-methylhistidine,368-16-1,58494.0,HMDB0000479,C01152,64969.0,123265,15677,209,Neg
5-hydroxylysine,100000054,Amino Acid,Lysine Metabolism,121.0,NAMED,YSMODUONRAFBET-AKGZTFGVSA-N,N[C@@H](CCC(O)CN)C(O)=O,5-hydroxylysine,5-hydroxylysine,13204-98-3,1002.0,HMDB0000450,C16741,3032849.0,155573,15685,400,Pos Early
4-guanidinobutanoate,100000096,Amino Acid,Guanidino and Acetamido Metabolism,571.0,NAMED,TUHVEAJXIMEOSA-UHFFFAOYSA-N,N=C(N)NCCCC(O)=O,4-guanidinobutanoate,4-guanidinobutanoate,"463-003,463-00-3",486.0,HMDB0003464,C01035,500.0,155572,15681,400,Pos Early
glucuronate,100000257,Carbohydrate,Aminosugar Metabolism,1423.0,NAMED,AEMOLEFTQBMNLQ-QIUUJYRFSA-N,O[C@@H]1O[C@H]([C@](O)=O)[C@@H](O)[C@H](O)[C@H]1O,glucuronate,glucuronate,207300-70-7,58552.0,HMDB0000127,C16245,4.41478236779769e+29,146478,15443,305,Polar
glycerol 3-phosphate,100000258,Lipid,Glycerolipid Metabolism,2860.0,NAMED,AWUCVROLDVIAJX-UHFFFAOYSA-N,O=P(O)(OCC(CO)O)O,glycerol 3-phosphate,glycerol 3-phosphate,29849-82-9,734.0,HMDB0000126,C0093,754.0,157058,43847,400,Pos Early
imidazole lactate,100000263,Amino Acid,Histidine Metabolism,85.0,NAMED,ACZFBYCNAVEFLC-UHFFFAOYSA-N,OC(C(O)=O)CC1=CN=CN1,imidazole lactate,imidazole lactate,14403-45-3,389128.0,HMDB0002320,C05568,793.0,155583,15716,400,Pos Early
kynurenine,100000265,Amino Acid,Tryptophan Metabolism,272.0,NAMED,YGPSJZOEDVAXAB-QMMMGPOBSA-N,N[C@H](C(O)=O)CC(C1=CC=CC=C1N)=O,kynurenine,kynurenine,2922-83-0,141580.0,HMDB0000684,C00328,161166.0,155539,15140,400,Pos Early
glycerophosphorylcholine (GPC),100000269,Lipid,Phospholipid Metabolism,2253.0,NAMED,SUHOQUVVVLNYQR-MRVPVSSYSA-N,O=P(OCC[N+](C)(C)C)([O-])OC[C@H](O)CO,glycerophosphorylcholine (GPC),glycerophosphorylcholine (GPC),28319-77-9,571409.0,HMDB0000086,C00670,71920.0,155613,15990,400,Pos Early
N-acetylglutamate,100000282,Amino Acid,Glutamate Metabolism,49.0,NAMED,RFMMMVDNIPUKGG-YFKPBYRVSA-N,O=C(O)CC[C@@H](C(O)=O)NC(C)=O,N-acetylglutamate,N-acetylglutamate,1430871,1266066.0,HMDB0001138,C00624,70914.0,164302,15720,305,Polar
ribitol,100000406,Carbohydrate,Pentose Metabolism,1278.0,NAMED,HEBKCHPVOIAQTA-ZXFHETKHSA-N,OC[C@@H](O)[C@@H](O)[C@@H](O)CO,ribitol,ribitol,488-81-3,10254628.0,"HMDB0002917,HMDB0001851,HMDB0000568,HMDB0000508","C00379,C01904,C00474,C00532",6912.0,146492,15772,305,Polar
