,definition
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
K02027,ABC.MS.S; multiple sugar transport system substrate-binding protein
K02028,ABC.PA.A; polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
K02029,ABC.PA.P; polar amino acid transport system permease protein
K02030,ABC.PA.S; polar amino acid transport system substrate-binding protein
K02031,ABC.PE.A; peptide/nickel transport system ATP-binding protein
K02032,ABC.PE.A1; peptide/nickel transport system ATP-binding protein
K02033,ABC.PE.P; peptide/nickel transport system permease protein
K02034,ABC.PE.P1; peptide/nickel transport system permease protein
K02035,ABC.PE.S; peptide/nickel transport system substrate-binding protein
K02036,pstB; phosphate transport system ATP-binding protein [EC:7.3.2.1]
K02037,pstC; phosphate transport system permease protein
K02038,pstA; phosphate transport system permease protein
K02039,phoU; phosphate transport system protein
K02040,pstS; phosphate transport system substrate-binding protein
K02041,phnC; phosphonate transport system ATP-binding protein [EC:7.3.2.2]
K02042,phnE; phosphonate transport system permease protein
K02043,"phnF; GntR family transcriptional regulator, phosphonate transport system regulatory protein"
K02044,phnD; phosphonate transport system substrate-binding protein
K02045,cysA; sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]
K02046,cysU; sulfate/thiosulfate transport system permease protein
K02047,cysW; sulfate/thiosulfate transport system permease protein
K02048,cysP; sulfate/thiosulfate transport system substrate-binding protein
K02049,ABC.SN.A; NitT/TauT family transport system ATP-binding protein
K02050,ABC.SN.P; NitT/TauT family transport system permease protein
K02051,ABC.SN.S; NitT/TauT family transport system substrate-binding protein
K02052,ABC.SP.A; putative spermidine/putrescine transport system ATP-binding protein
K02053,ABC.SP.P; putative spermidine/putrescine transport system permease protein
K02054,ABC.SP.P1; putative spermidine/putrescine transport system permease protein
K02055,ABC.SP.S; putative spermidine/putrescine transport system substrate-binding protein
K02056,ABC.SS.A; simple sugar transport system ATP-binding protein [EC:7.5.2.-]
K02057,ABC.SS.P; simple sugar transport system permease protein
K02058,ABC.SS.S; simple sugar transport system substrate-binding protein
K02062,thiQ; thiamine transport system ATP-binding protein
K02063,thiP; thiamine transport system permease protein
K02064,"thiB, tbpA; thiamine transport system substrate-binding protein"
K02065,"mlaF, linL, mkl; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein"
K02066,"mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein"
K02067,"mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein"
K02068,ABC.X2.A; putative ABC transport system ATP-binding protein
K02069,ABC.X2.P; putative ABC transport system permease protein
K02071,metN; D-methionine transport system ATP-binding protein
K02072,metI; D-methionine transport system permease protein
K02073,metQ; D-methionine transport system substrate-binding protein
K02074,ABC.ZM.A; zinc/manganese transport system ATP-binding protein
K02075,ABC.ZM.P; zinc/manganese transport system permease protein
K02077,ABC.ZM.S; zinc/manganese transport system substrate-binding protein
K02078,acpP; acyl carrier protein
K02079,agaA; N-acetylgalactosamine-6-phosphate deacetylase [EC:3.5.1.25]
K02080,agaI; galactosamine-6-phosphate isomerase [EC:5.3.1.-]
K02081,"agaR; DeoR family transcriptional regulator, aga operon transcriptional repressor"
K02082,agaS; tagatose-6-phosphate ketose/aldose isomerase [EC:5.-.-.-]
K02083,allC; allantoate deiminase [EC:3.5.3.9]
K02086,dnaD; DNA replication protein
K02099,"araC; AraC family transcriptional regulator, arabinose operon regulatory protein"
K02100,"araE; MFS transporter, SP family, arabinose:H+ symporter"
K02103,"araR; GntR family transcriptional regulator, arabinose operon transcriptional repressor"
K02106,atoE; short-chain fatty acids transporter
K02107,"ATPVG, ahaH, atpH; V/A-type H+/Na+-transporting ATPase subunit G/H"
K02108,"ATPF0A, atpB; F-type H+-transporting ATPase subunit a"
K02109,"ATPF0B, atpF; F-type H+-transporting ATPase subunit b"
K02110,"ATPF0C, atpE; F-type H+-transporting ATPase subunit c"
K02111,"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"
K02112,"ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"
K02113,"ATPF1D, atpH; F-type H+-transporting ATPase subunit delta"
K02114,"ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon"
K02115,"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"
K02116,atpI; ATP synthase protein I
K02117,"ATPVA, ntpA, atpA; V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1]"
K02118,"ATPVB, ntpB, atpB; V/A-type H+/Na+-transporting ATPase subunit B"
K02119,"ATPVC, ntpC, atpC; V/A-type H+/Na+-transporting ATPase subunit C"
K02120,"ATPVD, ntpD, atpD; V/A-type H+/Na+-transporting ATPase subunit D"
K02121,"ATPVE, ntpE, atpE; V/A-type H+/Na+-transporting ATPase subunit E"
K02122,"ATPVF, ntpF, atpF; V/A-type H+/Na+-transporting ATPase subunit F"
K02123,"ATPVI, ntpI, atpI; V/A-type H+/Na+-transporting ATPase subunit I"
K02124,"ATPVK, ntpK, atpK; V/A-type H+/Na+-transporting ATPase subunit K"
K02133,"ATPeF1B, ATP5B, ATP2; F-type H+-transporting ATPase subunit beta [EC:7.1.2.2]"
K02160,"accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein"
K02167,"betI; TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes"
K02168,"betT, betS; choline/glycine/proline betaine transport protein"
K02169,bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197]
K02170,bioH; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]
K02171,"blaI; BlaI family transcriptional regulator, penicillinase repressor"
K02172,blaR1; bla regulator protein blaR1
K02173,yggC; putative kinase
K02182,caiC; carnitine-CoA ligase [EC:6.2.1.48]
K02188,cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]
K02189,cbiG; cobalt-precorrin 5A hydrolase [EC:3.7.1.12]
K02190,cbiK; sirohydrochlorin cobaltochelatase [EC:4.99.1.3]
K02191,cbiT; cobalt-precorrin-6B (C15)-methyltransferase [EC:2.1.1.196]
K02192,bfd; bacterioferritin-associated ferredoxin
K02193,ccmA; heme exporter protein A [EC:7.6.2.5]
K02194,ccmB; heme exporter protein B
K02195,ccmC; heme exporter protein C
K02196,ccmD; heme exporter protein D
K02197,ccmE; cytochrome c-type biogenesis protein CcmE
K02198,ccmF; cytochrome c-type biogenesis protein CcmF
K02199,"ccmG, dsbE; cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE"
K02200,ccmH; cytochrome c-type biogenesis protein CcmH
K02203,thrH; phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]
K02217,"ftnA, ftn; ferritin [EC:1.16.3.2]"
K02221,yggT; YggT family protein
K02224,"cobB-cbiA; cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]"
K02226,"cobC, phpB; alpha-ribazole phosphatase [EC:3.1.3.73]"
K02227,"cbiB, cobD; adenosylcobinamide-phosphate synthase [EC:6.3.1.10]"
K02230,cobN; cobaltochelatase CobN [EC:6.6.1.2]
K02231,"cobP, cobU; adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]"
K02232,"cobQ, cbiP; adenosylcobyric acid synthase [EC:6.3.5.10]"
K02233,"E2.7.8.26, cobS, cobV; adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]"
K02236,comC; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]
K02237,comEA; competence protein ComEA
K02238,comEC; competence protein ComEC
K02240,comFA; competence protein ComFA
K02241,comFB; competence protein ComFB
K02242,comFC; competence protein ComFC
K02243,comGA; competence protein ComGA
K02244,comGB; competence protein ComGB
K02245,comGC; competence protein ComGC
K02246,comGD; competence protein ComGD
K02248,comGF; competence protein ComGF
K02255,ftnB; ferritin-like protein 2
K02257,"COX10, ctaB, cyoE; heme o synthase [EC:2.5.1.141]"
K02274,"coxA, ctaD; cytochrome c oxidase subunit I [EC:1.9.3.1]"
K02278,"cpaA, tadV; prepilin peptidase CpaA [EC:3.4.23.43]"
K02279,"cpaB, rcpC; pilus assembly protein CpaB"
K02282,"cpaE, tadZ; pilus assembly protein CpaE"
K02283,"cpaF, tadA; pilus assembly protein CpaF [EC:7.4.2.8]"
K02291,crtB; 15-cis-phytoene synthase [EC:2.5.1.32]
K02297,cyoA; cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]
K02298,cyoB; cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]
K02299,cyoC; cytochrome o ubiquinol oxidase subunit III
K02300,cyoD; cytochrome o ubiquinol oxidase subunit IV
K02302,cysG; uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]
K02303,cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
K02304,MET8; precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4]
K02313,dnaA; chromosomal replication initiator protein
K02314,dnaB; replicative DNA helicase [EC:3.6.4.12]
K02315,dnaC; DNA replication protein DnaC
K02316,dnaG; DNA primase [EC:2.7.7.101]
K02317,dnaT; DNA replication protein DnaT
K02319,"pol; DNA polymerase, archaea type [EC:2.7.7.7]"
K02322,polC; DNA polymerase II large subunit [EC:2.7.7.7]
K02334,dpo; DNA polymerase bacteriophage-type [EC:2.7.7.7]
K02335,polA; DNA polymerase I [EC:2.7.7.7]
K02336,polB; DNA polymerase II [EC:2.7.7.7]
K02337,dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]
K02338,dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
K02339,holC; DNA polymerase III subunit chi [EC:2.7.7.7]
K02340,holA; DNA polymerase III subunit delta [EC:2.7.7.7]
K02341,holB; DNA polymerase III subunit delta' [EC:2.7.7.7]
K02342,dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]
K02343,dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]
K02344,holD; DNA polymerase III subunit psi [EC:2.7.7.7]
K02345,holE; DNA polymerase III subunit theta [EC:2.7.7.7]
K02346,dinB; DNA polymerase IV [EC:2.7.7.7]
K02348,elaA; ElaA protein
K02355,"fusA, GFM, EFG; elongation factor G"
K02356,efp; elongation factor P
K02357,"tsf, TSFM; elongation factor Ts"
K02358,"tuf, TUFM; elongation factor Tu"
K02361,entC; isochorismate synthase [EC:5.4.4.2]
K02362,entD; enterobactin synthetase component D [EC:6.3.2.14 2.7.8.-]
K02363,"entE, dhbE, vibE, mxcE; 2,3-dihydroxybenzoate-AMP ligase [EC:6.3.2.14 2.7.7.58]"
K02364,entF; enterobactin synthetase component F [EC:6.3.2.14]
K02371,fabK; enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]
K02372,fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
K02377,"TSTA3, fcl; GDP-L-fucose synthase [EC:1.1.1.271]"
K02379,fdhD; FdhD protein
K02380,fdhE; FdhE protein
K02381,fdrA; FdrA protein
K02385,flbD; flagellar protein FlbD
K02386,flgA; flagella basal body P-ring formation protein FlgA
K02387,flgB; flagellar basal-body rod protein FlgB
K02388,flgC; flagellar basal-body rod protein FlgC
K02389,flgD; flagellar basal-body rod modification protein FlgD
K02390,flgE; flagellar hook protein FlgE
K02391,flgF; flagellar basal-body rod protein FlgF
K02392,flgG; flagellar basal-body rod protein FlgG
K02393,flgH; flagellar L-ring protein precursor FlgH
K02394,flgI; flagellar P-ring protein precursor FlgI
K02395,flgJ; flagellar protein FlgJ
K02396,flgK; flagellar hook-associated protein 1 FlgK
K02397,flgL; flagellar hook-associated protein 3 FlgL
K02398,flgM; negative regulator of flagellin synthesis FlgM
K02399,flgN; flagella synthesis protein FlgN
K02400,flhA; flagellar biosynthesis protein FlhA
K02401,flhB; flagellar biosynthetic protein FlhB
K02402,flhC; flagellar transcriptional activator FlhC
K02403,flhD; flagellar transcriptional activator FlhD
K02404,flhF; flagellar biosynthesis protein FlhF
K02405,fliA; RNA polymerase sigma factor for flagellar operon FliA
K02406,fliC; flagellin
K02407,fliD; flagellar hook-associated protein 2
K02408,fliE; flagellar hook-basal body complex protein FliE
K02409,fliF; flagellar M-ring protein FliF
K02410,fliG; flagellar motor switch protein FliG
K02411,fliH; flagellar assembly protein FliH
K02412,fliI; flagellum-specific ATP synthase [EC:7.4.2.8]
K02413,fliJ; flagellar FliJ protein
K02414,fliK; flagellar hook-length control protein FliK
K02415,fliL; flagellar FliL protein
K02416,fliM; flagellar motor switch protein FliM
K02417,"fliNY, fliN; flagellar motor switch protein FliN/FliY"
K02418,"fliOZ, fliO; flagellar protein FliO/FliZ"
K02419,fliP; flagellar biosynthetic protein FliP
K02420,fliQ; flagellar biosynthetic protein FliQ
K02421,fliR; flagellar biosynthetic protein FliR
K02422,fliS; flagellar protein FliS
K02423,fliT; flagellar protein FliT
K02424,"fliY, tcyA; L-cystine transport system substrate-binding protein"
K02425,fliZ; regulator of sigma S factor FliZ
K02426,sufE; cysteine desulfuration protein SufE
K02427,"rlmE, rrmJ, ftsJ; 23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]"
K02428,rdgB; XTP/dITP diphosphohydrolase [EC:3.6.1.66]
K02429,"fucP; MFS transporter, FHS family, L-fucose permease"
K02430,"fucR; DeoR family transcriptional regulator, L-fucose operon activator"
K02431,"fucU, FUOM; L-fucose mutarotase [EC:5.1.3.29]"
K02433,"gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]"
K02434,"gatB, PET112; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]"
K02435,"gatC, GATC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]"
K02436,"gatR; DeoR family transcriptional regulator, galactitol utilization operon repressor"
K02437,"gcvH, GCSH; glycine cleavage system H protein"
K02438,glgX; glycogen debranching enzyme [EC:3.2.1.196]
K02439,glpE; thiosulfate sulfurtransferase [EC:2.8.1.1]
K02440,GLPF; glycerol uptake facilitator protein
K02441,glpG; GlpG protein
K02443,glpP; glycerol uptake operon antiterminator
K02444,"glpR; DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor"
K02445,"glpT; MFS transporter, OPA family, glycerol-3-phosphate transporter"
K02446,"glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]"
K02450,gspA; general secretion pathway protein A
K02451,gspB; general secretion pathway protein B
K02452,gspC; general secretion pathway protein C
K02453,gspD; general secretion pathway protein D
K02454,gspE; general secretion pathway protein E [EC:7.4.2.8]
K02455,gspF; general secretion pathway protein F
K02456,gspG; general secretion pathway protein G
K02457,gspH; general secretion pathway protein H
K02458,gspI; general secretion pathway protein I
K02459,gspJ; general secretion pathway protein J
K02460,gspK; general secretion pathway protein K
K02461,gspL; general secretion pathway protein L
K02462,gspM; general secretion pathway protein M
K02464,gspO; general secretion pathway protein O [EC:3.4.23.43 2.1.1.-]
K02466,gutM; glucitol operon activator protein
K02467,gutQ; arabinose 5-phosphate isomerase [EC:5.3.1.13]
K02468,"srlR, gutR; DeoR family transcriptional regulator, glucitol operon repressor"
K02469,gyrA; DNA gyrase subunit A [EC:5.6.2.2]
K02470,gyrB; DNA gyrase subunit B [EC:5.6.2.2]
K02471,bacA; vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein
K02472,wecC; UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]
K02473,wbpP; UDP-N-acetylglucosamine 4-epimerase [EC:5.1.3.7]
K02474,wbpO; UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.-]
K02477,"K02477; two-component system, LytTR family, response regulator"
K02478,"K02478; two-component system, LytTR family, sensor kinase [EC:2.7.13.3]"
K02481,"K02481; two-component system, NtrC family, response regulator"
K02482,"K02482; two-component system, NtrC family, sensor kinase [EC:2.7.13.3]"
K02483,"K02483; two-component system, OmpR family, response regulator"
K02484,"K02484; two-component system, OmpR family, sensor kinase [EC:2.7.13.3]"
K02485,"rssB, hnr; two-component system, response regulator"
K02488,"pleD; two-component system, cell cycle response regulator [EC:2.7.7.65]"
K02492,hemA; glutamyl-tRNA reductase [EC:1.2.1.70]
K02493,"hemK, prmC, HEMK; release factor glutamine methyltransferase [EC:2.1.1.297]"
K02494,lolB; outer membrane lipoprotein LolB
K02495,"hemN, hemZ; oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]"
K02496,hemX; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
K02498,hemY; HemY protein
K02499,yabN; tetrapyrrole methylase family protein / MazG family protein
K02500,hisF; imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]
K02501,hisH; imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]
K02502,hisZ; ATP phosphoribosyltransferase regulatory subunit
K02503,"HINT1, hinT, hit; histidine triad (HIT) family protein"
K02504,hofB; protein transport protein HofB
K02505,hofC; protein transport protein HofC
K02506,"hofD, hopD; leader peptidase HopD [EC:3.4.23.43]"
K02507,hofQ; protein transport protein HofQ
K02508,"hpaA; AraC family transcriptional regulator, 4-hydroxyphenylacetate 3-monooxygenase operon regulatory protein"
K02509,"hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase [EC:4.2.1.-]"
K02510,"hpaI, hpcH; 4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]"
K02511,"hpaX; MFS transporter, ACS family, 4-hydroxyphenylacetate permease"
K02517,"lpxL, htrB; Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]"
K02518,infA; translation initiation factor IF-1
K02519,"infB, MTIF2; translation initiation factor IF-2"
K02520,"infC, MTIF3; translation initiation factor IF-3"
K02521,"ilvY; LysR family transcriptional regulator, positive regulator for ilvC"
K02523,ispB; octaprenyl-diphosphate synthase [EC:2.5.1.90]
K02525,"kdgR; LacI family transcriptional regulator, kdg operon repressor"
K02526,kdgT; 2-keto-3-deoxygluconate permease
K02527,"kdtA, waaA; 3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]"
K02528,ksgA; 16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]
K02529,"lacI, galR; LacI family transcriptional regulator"
K02530,"lacR; DeoR family transcriptional regulator, lactose phosphotransferase system repressor"
K02531,lacT; transcriptional antiterminator
K02532,"lacY; MFS transporter, OHS family, lactose permease"
K02533,lasT; tRNA/rRNA methyltransferase [EC:2.1.1.-]
K02535,lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]
K02536,lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]
K02538,"manR; activator of the mannose operon, transcriptional antiterminator"
K02548,"menA; 1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]"
K02549,menC; O-succinylbenzoate synthase [EC:4.2.1.113]
K02550,glcA; glycolate permease
K02551,menD; 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]
K02552,menF; menaquinone-specific isochorismate synthase [EC:5.4.4.2]
K02553,"rraA, menG; regulator of ribonuclease activity A"
K02554,mhpD; 2-keto-4-pentenoate hydratase [EC:4.2.1.80]
K02556,motA; chemotaxis protein MotA
K02557,motB; chemotaxis protein MotB
K02558,mpl; UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]
K02560,"lpxM, msbB; lauroyl-Kdo2-lipid IVA myristoyltransferase [EC:2.3.1.243]"
K02562,mtlR; mannitol operon repressor
K02563,murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]
K02564,"nagB, GNPDA; glucosamine-6-phosphate deaminase [EC:3.5.99.6]"
K02565,nagC; N-acetylglucosamine repressor
K02566,nagD; NagD protein
K02567,napA; periplasmic nitrate reductase NapA [EC:1.7.99.-]
K02568,napB; cytochrome c-type protein NapB
K02569,napC; cytochrome c-type protein NapC
K02570,napD; periplasmic nitrate reductase NapD
K02572,napF; ferredoxin-type protein NapF
K02573,napG; ferredoxin-type protein NapG
K02574,napH; ferredoxin-type protein NapH
K02575,"NRT, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter"
K02584,nifA; Nif-specific regulatory protein
K02585,nifB; nitrogen fixation protein NifB
K02586,nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]
K02587,nifE; nitrogenase molybdenum-cofactor synthesis protein NifE
K02588,nifH; nitrogenase iron protein NifH
K02589,"nifHD1, nifI1; nitrogen regulatory protein PII 1"
K02590,"nifHD2, nifI2; nitrogen regulatory protein PII 2"
K02591,nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]
K02594,nifV; homocitrate synthase NifV [EC:2.3.3.14]
K02598,nirC; nitrite transporter
K02600,nusA; transcription termination/antitermination protein NusA
K02601,nusG; transcription termination/antitermination protein NusG
K02609,"paaA; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]"
K02611,"paaC; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC [EC:1.14.13.149]"
K02613,"paaE; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE"
K02614,paaI; acyl-CoA thioesterase [EC:3.1.2.-]
K02615,"paaJ; 3-oxo-5,6-didehydrosuberyl-CoA/3-oxoadipyl-CoA thiolase [EC:2.3.1.223 2.3.1.174]"
K02616,paaX; phenylacetic acid degradation operon negative regulatory protein
K02617,paaY; phenylacetic acid degradation protein
K02618,"paaZ; oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase [EC:3.3.2.12 1.2.1.91]"
K02619,pabC; 4-amino-4-deoxychorismate lyase [EC:4.1.3.38]
K02621,parC; topoisomerase IV subunit A [EC:5.6.2.2]
K02622,parE; topoisomerase IV subunit B [EC:5.6.2.2]
K02624,"pcaR; IclR family transcriptional regulator, pca regulon regulatory protein"
K02626,pdaD; arginine decarboxylase [EC:4.1.1.19]
K02647,cdaR; carbohydrate diacid regulator
K02650,pilA; type IV pilus assembly protein PilA
K02651,"flp, pilA; pilus assembly protein Flp/PilA"
K02652,pilB; type IV pilus assembly protein PilB
K02653,pilC; type IV pilus assembly protein PilC
K02654,"pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]"
K02655,pilE; type IV pilus assembly protein PilE
K02656,pilF; type IV pilus assembly protein PilF
K02662,pilM; type IV pilus assembly protein PilM
K02663,pilN; type IV pilus assembly protein PilN
K02664,pilO; type IV pilus assembly protein PilO
K02666,pilQ; type IV pilus assembly protein PilQ
K02669,pilT; twitching motility protein PilT
K02671,pilV; type IV pilus assembly protein PilV
K02679,ppdA; prepilin peptidase dependent protein A
K02680,ppdB; prepilin peptidase dependent protein B
K02681,ppdC; prepilin peptidase dependent protein C
K02682,ppdD; prepilin peptidase dependent protein D
K02686,priB; primosomal replication protein N
K02687,prmA; ribosomal protein L11 methyltransferase [EC:2.1.1.-]
K02688,"prpR; transcriptional regulator, propionate catabolism operon regulatory protein"
K02689,psaA; photosystem I P700 chlorophyll a apoprotein A1
K02690,psaB; photosystem I P700 chlorophyll a apoprotein A2
K02703,psbA; photosystem II P680 reaction center D1 protein [EC:1.10.3.9]
K02704,psbB; photosystem II CP47 chlorophyll apoprotein
K02705,psbC; photosystem II CP43 chlorophyll apoprotein
K02706,psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]
K02742,sprT; SprT protein
K02744,"PTS-Aga-EIIA, agaF; PTS system, N-acetylgalactosamine-specific IIA component [EC:2.7.1.-]"
K02745,"PTS-Aga-EIIB, agaV; PTS system, N-acetylgalactosamine-specific IIB component [EC:2.7.1.-]"
K02746,"PTS-Aga-EIIC, agaW; PTS system, N-acetylgalactosamine-specific IIC component"
K02747,"PTS-Aga-EIID, agaE; PTS system, N-acetylgalactosamine-specific IID component"
K02750,"PTS-Glv-EIIC, glvC, malP, aglA; PTS system, alpha-glucoside-specific IIC component"
K02759,"PTS-Cel-EIIA, celC, chbA; PTS system, cellobiose-specific IIA component [EC:2.7.1.196 2.7.1.205]"
K02760,"PTS-Cel-EIIB, celA, chbB; PTS system, cellobiose-specific IIB component [EC:2.7.1.196 2.7.1.205]"
K02761,"PTS-Cel-EIIC, celB, chbC; PTS system, cellobiose-specific IIC component"
K02768,"PTS-Fru-EIIA, fruB; PTS system, fructose-specific IIA component [EC:2.7.1.202]"
K02769,"PTS-Fru-EIIB, fruA; PTS system, fructose-specific IIB component [EC:2.7.1.202]"
K02770,"PTS-Fru-EIIC, fruA; PTS system, fructose-specific IIC component"
K02771,"PTS-Fru1-EIID, levG; PTS system, fructose-specific IID component"
K02773,"PTS-Gat-EIIA, gatA, sgcA; PTS system, galactitol-specific IIA component [EC:2.7.1.200]"
K02774,"PTS-Gat-EIIB, gatB, sgcB; PTS system, galactitol-specific IIB component [EC:2.7.1.200]"
K02775,"PTS-Gat-EIIC, gatC, sgcC; PTS system, galactitol-specific IIC component"
K02777,"PTS-Glc-EIIA, crr; PTS system, sugar-specific IIA component [EC:2.7.1.-]"
K02781,"PTS-Gut-EIIA, srlB; PTS system, glucitol/sorbitol-specific IIA component [EC:2.7.1.198]"
K02783,"PTS-Gut-EIIC, srlA; PTS system, glucitol/sorbitol-specific IIC component"
K02784,"PTS-HPR.PTSH, ptsH; phosphocarrier protein HPr"
K02786,"PTS-Lac-EIIA, lacF; PTS system, lactose-specific IIA component [EC:2.7.1.207]"
K02791,"PTS-MalGlc-EIIC, malX; PTS system, maltose/glucose-specific IIC component"
K02793,"PTS-Man-EIIA, manX; PTS system, mannose-specific IIA component [EC:2.7.1.191]"
K02794,"PTS-Man-EIIB, manX; PTS system, mannose-specific IIB component [EC:2.7.1.191]"
K02795,"PTS-Man-EIIC, manY; PTS system, mannose-specific IIC component"
K02796,"PTS-Man-EIID, manZ; PTS system, mannose-specific IID component"
K02798,"PTS-Mtl-EIIA, mtlA, cmtB; PTS system, mannitol-specific IIA component [EC:2.7.1.197]"
K02805,"wecE, rffA; dTDP-4-amino-4,6-dideoxygalactose transaminase [EC:2.6.1.59]"
K02806,"PTS-Ntr-EIIA, ptsN; PTS system, nitrogen regulatory IIA component [EC:2.7.1.-]"
K02812,"PTS-Sor-EIIA, sorF; PTS system, sorbose-specific IIA component [EC:2.7.1.206]"
K02813,"PTS-Sor-EIIB, sorB; PTS system, sorbose-specific IIB component [EC:2.7.1.206]"
K02814,"PTS-Sor-EIIC, sorA; PTS system, sorbose-specific IIC component"
K02815,"PTS-Sor-EIID, sorM; PTS system, sorbose-specific IID component"
K02821,"PTS-Ula-EIIA, ulaC, sgaA; PTS system, ascorbate-specific IIA component [EC:2.7.1.194]"
K02822,"PTS-Ula-EIIB, ulaB, sgaB; PTS system, ascorbate-specific IIB component [EC:2.7.1.194]"
K02823,pyrDII; dihydroorotate dehydrogenase electron transfer subunit
K02824,"pyrP, uraA; uracil permease"
K02825,pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]
